"Ano","Municipio_COD-IBGE","Municipio_Nome","UF","Quantidade_Acidentes_com_CAT_Tipicos","Quantidade_Acidentes_com_CAT_Trajeto"	,"Quantidade_Acidentes_com_CAT_Doenca_Profissional","Quantidade_Obitos","Quantidade_Acidentes_Sem_CAT"
2002,120030,"FEIJO","AC",0,0,0,0,0
2002,120032,"JORDAO","AC",0,0,0,0,0
2002,120033,"MANCIO LIMA","AC",1,0,0,0,0
2002,120038,"PLACIDO DE CASTRO","AC",4,0,0,0,0
2002,120040,"RIO BRANCO","AC",203,51,6,2,0
2002,120042,"RODRIGUES ALVES","AC",1,0,0,0,0
2002,120045,"SENADOR GUIOMARD","AC",11,1,0,0,0
2002,120050,"SENA MADUREIRA","AC",2,0,0,0,0
2002,120060,"TARAUACA","AC",0,0,0,0,0
2002,120070,"XAPURI","AC",1,0,0,0,0
2002,120080,"PORTO ACRE","AC",2,1,0,1,0
2002,130000,"IGNORADO AMAZONAS","AM",5,1,0,3,0
2002,130002,"ALVARAES","AM",1,0,0,0,0
2002,130008,"ANAMA","AM",0,0,0,0,0
2002,130030,"AUTAZES","AM",0,0,0,0,0
2002,130040,"BARCELOS","AM",0,0,0,0,0
2002,130060,"BENJAMIN CONSTANT","AM",0,0,1,0,0
2002,130063,"BERURI","AM",0,0,0,0,0
2002,130070,"BOCA DO ACRE","AM",1,0,0,0,0
2002,130080,"BORBA","AM",1,0,0,0,0
2002,130090,"CANUTAMA","AM",1,0,0,0,0
2002,130100,"CARAUARI","AM",1,0,0,0,0
2002,130110,"CAREIRO","AM",2,0,0,1,0
2002,130115,"CAREIRO DA VARZEA","AM",0,0,0,0,0
2002,130120,"COARI","AM",11,0,0,0,0
2002,130140,"EIRUNEPE","AM",0,0,1,0,0
2002,130160,"FONTE BOA","AM",1,0,0,0,0
2002,130170,"HUMAITA","AM",4,0,0,1,0
2002,130180,"IPIXUNA","AM",0,0,1,0,0
2002,130185,"IRANDUBA","AM",4,1,1,0,0
2002,130190,"ITACOATIARA","AM",107,10,1,0,0
2002,130200,"ITAPIRANGA","AM",0,0,1,0,0
2002,130210,"JAPURA","AM",0,0,0,0,0
2002,130230,"JUTAI","AM",0,0,1,0,0
2002,130250,"MANACAPURU","AM",2,0,1,1,0
2002,130260,"MANAUS","AM",2249,310,301,29,0
2002,130270,"MANICORE","AM",2,0,0,0,0
2002,130290,"MAUES","AM",3,0,0,0,0
2002,130310,"NOVA OLINDA DO NORTE","AM",1,0,1,0,0
2002,130320,"NOVO AIRAO","AM",0,0,2,0,0
2002,130330,"NOVO ARIPUANA","AM",0,0,1,0,0
2002,130340,"PARINTINS","AM",1,0,0,0,0
2002,130350,"PAUINI","AM",1,0,0,0,0
2002,130353,"PRESIDENTE FIGUEIREDO","AM",42,0,3,0,0
2002,130356,"RIO PRETO DA EVA","AM",1,0,0,0,0
2002,130360,"SANTA ISABEL DO RIO NEGRO","AM",0,0,1,0,0
2002,130380,"SAO GABRIEL DA CACHOEIRA","AM",0,0,0,0,0
2002,130390,"SAO PAULO DE OLIVENCA","AM",0,0,0,0,0
2002,130395,"SAO SEBASTIAO DO UATUMA","AM",0,0,1,0,0
2002,130400,"SILVES","AM",0,0,1,0,0
2002,130420,"TEFE","AM",1,2,0,1,0
2002,130423,"TONANTINS","AM",1,0,0,0,0
2002,130440,"URUCURITUBA","AM",0,0,0,0,0
2002,140000,"IGNORADO RORAIMA","RR",2,0,1,0,0
2002,140002,"AMAJARI","RR",0,0,0,0,0
2002,140005,"ALTO ALEGRE","RR",0,0,0,0,0
2002,140010,"BOA VISTA","RR",58,27,3,7,0
2002,140017,"CANTA","RR",1,0,0,0,0
2002,140020,"CARACARAI","RR",6,0,0,0,0
2002,140023,"CAROEBE","RR",1,0,0,0,0
2002,140028,"IRACEMA","RR",0,1,0,0,0
2002,140030,"MUCAJAI","RR",5,0,0,0,0
2002,140045,"PACARAIMA","RR",1,1,0,0,0
2002,140047,"RORAINOPOLIS","RR",0,2,0,0,0
2002,140050,"SAO JOAO DA BALIZA","RR",1,0,0,0,0
2002,140060,"SAO LUIZ","RR",1,0,0,0,0
2002,150000,"IGNORADO PARA","PA",64,3,7,6,0
2002,150010,"ABAETETUBA","PA",14,3,0,0,0
2002,150013,"ABEL FIGUEIREDO","PA",1,0,0,0,0
2002,150020,"ACARA","PA",5,1,0,0,0
2002,150030,"AFUA","PA",4,0,0,0,0
2002,150034,"AGUA AZUL DO NORTE","PA",4,0,0,0,0
2002,150040,"ALENQUER","PA",0,0,0,0,0
2002,150050,"ALMEIRIM","PA",105,5,85,0,0
2002,150060,"ALTAMIRA","PA",25,4,3,2,0
2002,150070,"ANAJAS","PA",1,0,0,0,0
2002,150080,"ANANINDEUA","PA",316,47,42,7,0
2002,150085,"ANAPU","PA",3,1,0,1,0
2002,150090,"AUGUSTO CORREA","PA",2,0,0,1,0
2002,150100,"AVEIRO","PA",0,0,0,0,0
2002,150110,"BAGRE","PA",0,0,0,0,0
2002,150120,"BAIAO","PA",2,0,0,0,0
2002,150125,"BANNACH","PA",1,0,0,1,0
2002,150130,"BARCARENA","PA",192,4,4,3,0
2002,150140,"BELEM","PA",2082,356,268,28,0
2002,150145,"BELTERRA","PA",1,0,0,0,0
2002,150150,"BENEVIDES","PA",16,2,0,1,0
2002,150157,"BOM JESUS DO TOCANTINS","PA",4,0,0,0,0
2002,150170,"BRAGANCA","PA",8,0,0,0,0
2002,150172,"BRASIL NOVO","PA",1,0,0,0,0
2002,150175,"BREJO GRANDE DO ARAGUAIA","PA",0,0,0,0,0
2002,150178,"BREU BRANCO","PA",14,3,0,3,0
2002,150180,"BREVES","PA",49,4,0,0,0
2002,150190,"BUJARU","PA",1,0,1,0,0
2002,150200,"CACHOEIRA DO ARARI","PA",0,0,0,0,0
2002,150210,"CAMETA","PA",2,0,0,0,0
2002,150215,"CANAA DOS CARAJAS","PA",11,2,0,0,0
2002,150220,"CAPANEMA","PA",24,7,1,0,0
2002,150230,"CAPITAO POCO","PA",8,5,0,0,0
2002,150240,"CASTANHAL","PA",143,20,3,1,0
2002,150250,"CHAVES","PA",0,0,0,0,0
2002,150270,"CONCEICAO DO ARAGUAIA","PA",22,2,0,0,0
2002,150275,"CONCORDIA DO PARA","PA",1,0,0,0,0
2002,150276,"CUMARU DO NORTE","PA",4,3,1,0,0
2002,150277,"CURIONOPOLIS","PA",4,1,1,0,0
2002,150293,"DOM ELISEU","PA",22,2,0,1,0
2002,150295,"ELDORADO DOS CARAJAS","PA",2,0,1,0,0
2002,150304,"FLORESTA DO ARAGUAIA","PA",2,0,0,0,0
2002,150307,"GARRAFAO DO NORTE","PA",1,1,0,0,0
2002,150309,"GOIANESIA DO PARA","PA",14,0,0,1,0
2002,150320,"IGARAPE-ACU","PA",1,0,0,0,0
2002,150330,"IGARAPE-MIRI","PA",0,1,0,0,0
2002,150340,"INHANGAPI","PA",6,0,0,0,0
2002,150345,"IPIXUNA DO PARA","PA",15,0,0,0,0
2002,150350,"IRITUIA","PA",2,0,0,0,0
2002,150360,"ITAITUBA","PA",27,1,0,2,0
2002,150370,"ITUPIRANGA","PA",11,1,0,0,0
2002,150375,"JACAREACANGA","PA",0,0,0,0,0
2002,150380,"JACUNDA","PA",27,4,0,3,0
2002,150390,"JURUTI","PA",2,0,0,0,0
2002,150400,"LIMOEIRO DO AJURU","PA",1,0,0,0,0
2002,150405,"MAE DO RIO","PA",3,1,0,0,0
2002,150420,"MARABA","PA",78,30,1,2,0
2002,150430,"MARACANA","PA",0,1,0,0,0
2002,150440,"MARAPANIM","PA",2,0,0,0,0
2002,150442,"MARITUBA","PA",45,6,8,0,0
2002,150445,"MEDICILANDIA","PA",4,1,0,0,0
2002,150460,"MOCAJUBA","PA",0,4,0,0,0
2002,150470,"MOJU","PA",37,1,0,0,0
2002,150480,"MONTE ALEGRE","PA",0,0,1,0,0
2002,150490,"MUANA","PA",0,0,0,0,0
2002,150495,"NOVA ESPERANCA DO PIRIA","PA",2,0,0,0,0
